"ENTREZID" "EVIDENCE" "ONTOLOGY" "SYMBOL" "TXCHROM" "GOID"
"1" "497097" "ND" "MF" "Xkr4" "chr1" "GO:0003674"
"5" "100503874" NA NA "Gm19938" NA NA
"6" "100038431" NA NA "Gm10568" NA NA
"7" "19888" "IDA" "CC" "Rp1" "chr1" "GO:0001750"
"37" "20671" "IMP" "BP" "Sox17" "chr1" "GO:0000122"
"109" "27395" "TAS" "BP" "Mrpl15" "chr1" "GO:0000002"
"122" "18777" "IMP" "BP" "Lypla1" "chr1" "GO:0002084"
"136" "100503730" NA NA "Gm19860" NA NA
"137" "21399" "IEA" "MF" "Tcea1" "chr1" "GO:0003676"
"151" "58175" "TAS" "MF" "Rgs20" "chr1" "GO:0005096"
"161" "108664" "IBA" "CC" "Atp6v1h" "chr1" "GO:0000221"
"173" "18387" "IEA" "MF" "Oprk1" "chr1" "GO:0004871"
"220" "226304" "IEA" "MF" "Npbwr1" "chr1" "GO:0004871"
"235" "12421" "IMP" "BP" "Rb1cc1" "chr1" "GO:0000045"
"265" "620393" "ND" "CC" "Fam150a" "chr1" "GO:0005575"
"271" "240690" "ISO" "BP" "St18" "chr1" "GO:0000122"
"279" "319263" "IBA" "MF" "Pcmtd1" "chr1" "GO:0004719"
"284" "71096" "IEA" "MF" "Sntg1" "chr1" "GO:0003779"
"291" "59014" "IBA" "BP" "Rrs1" "chr1" "GO:0000055"
"306" "76187" "IBA" "MF" "Adhfe1" "chr1" "GO:0004022"
"314" "72481" "ND" "MF" "2610203C22Rik" "chr1" "GO:0003674"
"317" "76982" "ND" "MF" "3110035E14Rik" "chr1" "GO:0003674"
"320" "17864" "IBA" "BP" "Mybl1" "chr1" "GO:0000278"
"335" "70675" "ISO" "MF" "Vcpip1" "chr1" "GO:0004843"
"351" "73331" "ND" "MF" "1700034P13Rik" "chr1" "GO:0003674"
"354" "170755" "IEA" "MF" "Sgk3" "chr1" "GO:0000166"
"375" "620986" NA NA "Gm6195" NA NA
"376" "240697" "ND" "MF" "Mcmdc2" "chr1" "GO:0003674"
"388" "73824" "ND" "MF" "Snhg6" "chr1" "GO:0003674"
"391" "266793" "ISO" "CC" "Snord87" "chr1" "GO:0005730"
"394" "100038398" NA NA NA NA NA
"395" "100039596" "ND" "MF" "Tcf24" "chr1" "GO:0003674"
"398" "69312" "IDA" "CC" "Ppp1r42" "chr1" "GO:0002177"
"409" "26754" "ISO" "BP" "Cops5" "chr1" "GO:0000338"
"435" "211660" "ISO" "CC" "Cspp1" "chr1" "GO:0000922"
"448" "211673" "ISO" "CC" "Arfgef1" "chr1" "GO:0000139"
"477" "329093" "IEA" "MF" "Cpa6" "chr1" "GO:0004180"
"488" "109294" "IEA" "MF" "Prex2" "chr1" "GO:0005085"
"504" "320492" "ND" "MF" "A830018L16Rik" "chr1" "GO:0003674"
"507" "329096" NA NA "Gm17644" "chr1" NA
"508" "240725" "IGI" "BP" "Sulf1" "chr1" "GO:0001822"
"549" "240726" NA NA "Slco5a1" "chr1" NA
"550" "383491" "IMP" "BP" "Prdm14" "chr1" "GO:0000122"
"581" "17978" "IDA" "BP" "Ncoa2" "chr1" "GO:0000122"
"638" "72265" "ND" "MF" "Tram1" "chr1" "GO:0003674"
"644" "212442" "IEA" "MF" "Lactb2" "chr1" "GO:0003723"
"655" "381246" "ND" "MF" "Xkr9" "chr1" "GO:0003674"
"659" "433273" NA NA "Gm5523" "chr1" NA
"660" "14048" "IMP" "BP" "Eya1" "chr1" "GO:0000132"
"727" "17681" "IMP" "BP" "Msc" "chr1" "GO:0000122"
"741" "277328" "IMP" "MF" "Trpa1" "chr1" "GO:0005216"
"792" "98741" "IEA" "MF" "Kcnb2" "chr1" "GO:0005216"
"818" "21749" "IMP" "BP" "Terf1" "chr1" "GO:0000237"
"870" "226866" "ND" "MF" "Sbspon" "chr1" "GO:0003674"
"878" "665434" NA NA "Gm7634" NA NA
"879" "75799" "ND" "MF" "4930444P10Rik" "chr1" "GO:0003674"
"882" "19989" "IBA" "BP" "Rpl7" "chr1" "GO:0000463"
"907" "98711" "IMP" "BP" "Rdh10" "chr1" "GO:0001656"
"936" "29819" "ISO" "MF" "Stau2" "chr1" "GO:0003723"
"963" "66799" "IEA" "MF" "Ube2w" "chr1" "GO:0000166"
"987" "67923" "IBA" "MF" "Eloc" "chr1" "GO:0004842"
"998" "329101" NA NA "D030040B21Rik" "chr1" NA
"999" "70397" "ND" "MF" "Tmem70" "chr1" "GO:0003674"
"1008" "17087" "ISO" "MF" "Ly96" "chr1" "GO:0001875"
"1026" "57339" "IDA" "CC" "Jph1" "chr1" "GO:0005783"
"1038" "14545" "ISO" "BP" "Gdap1" "chr1" "GO:0000266"
"1050" "94227" "IEA" "CC" "Pi15" "chr1" "GO:0005576"
"1054" "83691" "ND" "MF" "Crispld1" "chr1" "GO:0003674"
"1058" "78081" "IMP" "MF" "Crisp4" "chr1" "GO:0005246"
"1062" "654454" NA NA "Defb44-ps" "chr1" NA
"1063" "654460" "ND" "MF" "Defb18" "chr1" "GO:0003674"
"1070" "77673" "ND" "MF" "Defb41" "chr1" "GO:0003674"
"1075" "654464" NA NA NA "chr1" NA
"1076" "226896" "IDA" "MF" "Tfap2d" "chr1" "GO:0000977"
"1091" "21419" "ISO" "BP" "Tfap2b" "chr1" "GO:0000122"
"1156" "241035" "IDA" "BP" "Pkhd1" "chr1" "GO:0001822"
"1175" "75028" NA NA "4930486I03Rik" "chr1" NA
"1176" "387202" "IDA" "CC" "Mir206" NA "GO:0005634"
"1178" "723817" "IGI" "BP" "Mir133b" "chr1" "GO:0010628"
"1183" "16171" "IEA" "MF" "Il17a" "chr1" "GO:0005125"
"1202" "257630" "ISO" "MF" "Il17f" "chr1" "GO:0005125"
"1223" "17215" "IEA" "MF" "Mcm3" "chr1" "GO:0000166"
"1241" "77741" "ND" "MF" "6720483E21Rik" "chr1" "GO:0003674"
"1244" "74229" "IBA" "MF" "Paqr8" "chr1" "GO:0003707"
"1256" "71877" "IEA" "MF" "Efhc1" "chr1" "GO:0005509"
"1268" "170829" "IPI" "MF" "Tram2" "chr1" "GO:0005515"
"1275" "75712" "ND" "MF" "Tmem14a" "chr1" "GO:0003674"
"1280" "14859" "IEP" "BP" "Gsta3" "chr1" "GO:0001657"
"1288" "241041" NA NA "Gm4956" "chr1" NA
"1289" "368204" "IEA" "MF" "Khdc1a" "chr1" "GO:0003723"
"1296" "433278" "ND" "MF" "Khdc1c" "chr1" "GO:0003674"
"1300" "98582" "IDA" "MF" "Khdc1b" "chr1" "GO:0003723"
"1305" "226922" "IEA" "MF" "Kcnq5" "chr1" "GO:0005216"
"1321" "116837" "ISO" "MF" "Rims1" "chr1" "GO:0003723"
"1358" "66755" "ND" "CC" "4933415F23Rik" "chr1" "GO:0005575"
"1360" "387225" "IDA" "BP" "Mir30a" "chr1" "GO:0007569"
"1369" "723964" "IDA" "BP" "Mir30c-2" "chr1" "GO:0010629"
"1374" "70155" "ND" "MF" "Ogfrl1" "chr1" "GO:0003674"
"1379" "100503399" NA NA "Gm19673" NA NA
"1380" "280645" "IEA" "CC" "B3gat2" "chr1" "GO:0005794"
"1391" "98366" "IDA" "MF" "Smap1" "chr1" "GO:0005096"
"1400" "68002" "ND" "MF" "Sdhaf4" "chr1" "GO:0003674"
"1403" "68187" "ND" "CC" "Fam135a" "chr1" "GO:0005575"
"1406" "12839" "IMP" "BP" "Col9a1" "chr1" "GO:0001894"
"1415" "12823" "IEA" "CC" "Col19a1" "chr1" "GO:0005576"
"1424" "68421" "IDA" "MF" "Lmbrd1" "chr1" "GO:0005158"
"1436" "210933" "IEA" "MF" "Adgrb3" "chr1" "GO:0004871"
"1456" "100504323" NA NA "Gm20172" "chr1" NA
"1457" "210940" "ND" "MF" "4931408C20Rik" "chr1" "GO:0003674"
"1460" "433281" NA NA "Gm5524" NA NA
"1461" "665903" NA NA "Gm7846" NA NA
"1462" "210962" "ND" "MF" "Gm597" "chr1" "GO:0003674"
"1465" "623924" NA NA "Gm6462" NA NA
"1466" "791350" "ND" "MF" "Gm9898" NA "GO:0003674"
"1469" "213109" "ND" "MF" "Phf3" "chr1" "GO:0003674"
"1472" "19243" "IEA" "MF" "Ptp4a1" "chr1" "GO:0004721"
"1493" "70988" "ND" "MF" "4931428L18Rik" "chr1" "GO:0003674"
"1496" "266744" "IEA" "MF" "Lgsn" "chr1" "GO:0003824"
"1502" "74708" "IPI" "MF" "Pih1d3" "chr1" "GO:0005515"
"1507" "226957" NA NA "Gm4850" "chr1" NA
"1508" "624262" NA NA "Gm6489" NA NA
"1509" "170771" "IEA" "MF" "Khdrbs2" "chr1" "GO:0003676"
"1524" "408192" "ND" "MF" "Gm9839" "chr1" "GO:0003674"
"1527" "408191" "IBA" "MF" "Gm5415" "chr1" "GO:0004175"
"1532" "19076" "IEA" "MF" "Prim2" "chr1" "GO:0003677"
"1547" "67503" "ND" "MF" "1700001G17Rik" "chr1" "GO:0003674"
"1550" "19335" "IBA" "BP" "Rab23" "chr1" "GO:0000045"
"1585" "213539" "ISO" "MF" "Bag2" "chr1" "GO:0000774"
"1591" "98403" "ISO" "MF" "Zfp451" "chr1" "GO:0001106"
"1603" "433287" NA NA "Gm15455" "chr1" NA
"1604" "320705" "ISO" "MF" "Bend6" "chr1" "GO:0001106"
"1614" "13518" "IDA" "CC" "Dst" "chr1" "GO:0001725"
"1657" "100628580" NA NA "Mir5103" "chr1" NA
"1658" "69668" "IDA" "CC" "Ccdc115" "chr1" "GO:0005764"
"1667" "27993" "ISO" "CC" "Imp4" "chr1" "GO:0001650"
"1680" "52318" NA NA "D1Ertd448e" NA NA
"1681" "19253" "IEA" "MF" "Ptpn18" "chr1" "GO:0004721"
"1691" "21755" "IEA" "MF" "Prss39" "chr1" "GO:0004252"
"1695" "12627" "IMP" "BP" "Cfc1" "chr1" "GO:0001889"
"1720" "21756" "IEA" "MF" "Prss40" "chr1" "GO:0004252"
"1727" "211383" "IBA" "MF" "Amer3" "chr1" "GO:0005546"
"1735" "241051" NA NA "AA619741" "chr1" NA
"1736" "226970" "ISO" "MF" "Arhgef4" "chr1" "GO:0005085"
"1745" "214469" "ND" "MF" "Fam168b" "chr1" "GO:0003674"
"1753" "226971" "ND" "MF" "Plekhb2" "chr1" "GO:0003674"
"1758" "50785" "IMP" "BP" "Hs6st1" "chr1" "GO:0001525"
"1769" "320011" "ISO" "MF" "Uggt1" "chr1" "GO:0003980"
"1779" "214854" "ND" "CC" "Neurl3" "chr1" "GO:0005575"
"1785" "214855" "IDA" "BP" "Arid5a" "chr1" "GO:0002062"
"1799" "226976" "ISO" "CC" "Kansl3" "chr1" "GO:0000123"
"1812" "214895" "IEA" "CC" "Lman2l" "chr1" "GO:0005783"
"1820" "94220" "IEA" "CC" "Cnnm4" "chr1" "GO:0005886"
"1834" "94218" "ND" "MF" "Cnnm3" "chr1" "GO:0003674"
"1841" "78321" "IDA" "CC" "Ankrd23" "chr1" "GO:0005634"
"1853" "109346" "ND" "MF" "Ankrd39" "chr1" "GO:0003674"
"1856" "20353" "IMP" "BP" "Sema4c" "chr1" "GO:0001843"
"1877" "381337" "ND" "MF" "Fam178b" "chr1" "GO:0003674"
"1880" "12859" "IBA" "MF" "Cox5b" "chr1" "GO:0004129"
"1887" "226977" "IEA" "MF" "Actr1b" "chr1" "GO:0000166"
"1898" "71166" NA NA "4933424G06Rik" "chr1" NA
"1899" "22637" "IEA" "MF" "Zap70" "chr1" "GO:0000166"
"1949" "56030" "ND" "MF" "Tmem131" "chr1" "GO:0003674"
"1952" "70853" "ND" "MF" "Vwa3b" NA "GO:0003674"
"1955" "12790" "IEA" "MF" "Cnga3" "chr1" "GO:0000166"
"1986" "269180" "IBA" "CC" "Inpp4a" "chr1" "GO:0005737"
"1992" "76178" "ND" "MF" "Coa5" "chr1" "GO:0003674"
"1996" "67387" "ISO" "CC" "Unc50" "chr1" "GO:0000139"
"2007" "269181" "IEA" "CC" "Mgat4a" "chr1" "GO:0005576"
"2020" "77633" NA NA "4930594C11Rik" "chr1" NA
"2021" "100861893" NA NA NA NA NA
"2022" "72097" "ND" "MF" "2010300C02Rik" "chr1" "GO:0003674"
"2025" "100503734" NA NA "Gm19863" NA NA
"2026" "211484" "ISA" "MF" "Tsga10" "chr1" "GO:0005198"
"2036" "623661" "IDA" "CC" "Lipt1" "chr1" "GO:0005739"
"2042" "69028" "ISO" "BP" "Mitd1" "chr1" "GO:0000281"
"2057" "107734" "ND" "MF" "Mrpl30" "chr1" "GO:0003674"
"2067" "332427" "ND" "MF" "Lyg2" "chr1" "GO:0003674"
"2077" "69541" "ND" "MF" "Lyg1" "chr1" "GO:0003674"
"2087" "98258" "IDA" "CC" "Txndc9" "chr1" "GO:0005634"
"2096" "226982" "IEA" "MF" "Eif5b" "chr1" "GO:0000166"
"2107" "56210" "IEA" "MF" "Rev1" "chr1" "GO:0003677"
"2119" "16764" "IEA" "MF" "Aff3" "chr1" "GO:0003677"
"2132" "381338" "IBA" "BP" "Lonrf2" "chr1" "GO:0000209"
"2138" "98388" "IEA" "CC" "Chst10" "chr1" "GO:0005794"
"2148" "100503760" NA NA NA NA NA
"2149" "433292" "ISA" "MF" "Nms" "chr1" "GO:0001664"
"2156" "68833" "IEA" "BP" "Pdcl3" "chr1" "GO:0001525"
"2171" "18143" "ISO" "MF" "Npas2" "chr1" "GO:0003677"
"2200" "114641" "ISO" "MF" "Rpl31" "chr1" "GO:0003723"
"2213" "54610" "IBA" "MF" "Tbc1d8" "chr1" "GO:0005096"
