"ENTREZID"	"EVIDENCE"	"ONTOLOGY"	"SYMBOL"	"TXCHROM"	"GOID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
12759	"ISO"	"BP"	"Clu"	"chr14"	"GO:0000902"	-5.44287688411243	8.85790690857849	-33.4442897996347	3.990898995618e-10	2.70387082175497e-06
53624	"IEA"	"MF"	"Cldn7"	"chr11"	"GO:0005198"	-5.51460534672946	6.29676228968386	-32.9453307816955	4.5036935760103e-10	2.70387082175497e-06
242505	"IEA"	"MF"	"Rasef"	"chr4"	"GO:0000166"	-5.92174108452591	5.11958499106693	-31.7762478162096	6.06324939234048e-10	2.70387082175497e-06
67451	"ISO"	"BP"	"Pkp2"	"chr16"	"GO:0002159"	-5.72482278672599	4.42049527771447	-30.6537026048006	8.01045628646751e-10	2.70387082175497e-06
228543	"IEA"	"MF"	"Rhov"	"chr2"	"GO:0000166"	-6.25342661291379	5.48663959408248	-29.4624408533562	1.11272913011738e-09	2.70387082175497e-06
70350	"ISS"	"MF"	"Basp1"	"chr15"	"GO:0003714"	-6.07329688026777	5.24834866624662	-28.6488960355128	1.38054455006701e-09	2.70387082175497e-06
19253	"IEA"	"MF"	"Ptpn18"	"chr1"	"GO:0004721"	-5.63284576695956	4.12975973759398	-28.4109037615087	1.45566074090959e-09	2.70387082175497e-06
218518	"ND"	"MF"	"Marveld2"	"chr13"	"GO:0003674"	-5.13980883750646	4.93133352504942	-28.0175631607242	1.60299387125366e-09	2.70387082175497e-06
14275	"IMP"	"BP"	"Folr1"	"chr7"	"GO:0001947"	-6.905772182737	3.83881118637902	-27.8570045274724	1.76640298735581e-09	2.70387082175497e-06
12521	"IBA"	"CC"	"Cd82"	"chr2"	"GO:0005887"	-4.10731592843837	7.07096257536571	-27.3210174433526	1.90883926703492e-09	2.70387082175497e-06
13036	"ISO"	"CC"	"Ctsh"	"chr9"	"GO:0000932"	-4.6599146238527	5.74566933996097	-26.3945508876979	2.53528346911625e-09	2.89918119076932e-06
16324	"TAS"	"BP"	"Inhbb"	"chr1"	"GO:0001654"	-4.79225474339564	6.46224734183943	-26.2896083501345	2.62447532356131e-09	2.89918119076932e-06
70737	"IMP"	"BP"	"Cgn"	"chr3"	"GO:0000226"	-5.44600830025421	5.31554819627466	-26.301246625562	2.66073812072016e-09	2.89918119076932e-06
11815	"IMP"	"BP"	"Apod"	"chr16"	"GO:0000302"	-5.95363274968089	4.4386346913344	-25.5568485619675	3.38510610488972e-09	3.34226229786719e-06
50722	"IPI"	"MF"	"Dkkl1"	"chr7"	"GO:0005515"	-6.3425307750154	4.48297603308331	-25.3140327768037	3.69216813416374e-09	3.34226229786719e-06
215384	"IPI"	"MF"	"Fcgbp"	"chr7"	"GO:0005515"	-7.06092315830411	10.4358503350298	-25.0826686512123	4.05740506144465e-09	3.34226229786719e-06
22249	"TAS"	"MF"	"Unc13b"	"chr4"	"GO:0001566"	-4.32055462721555	5.66449691516208	-24.7711249253241	4.14763739402908e-09	3.34226229786719e-06
27375	"IPI"	"MF"	"Tjp3"	"chr10"	"GO:0005515"	-5.47930995314306	5.22762848334436	-24.4767828223953	4.6907272519388e-09	3.34226229786719e-06
20743	"ISO"	"CC"	"Sptbn2"	"chr19"	"GO:0000139"	-4.98248808976951	5.42642427497527	-24.2798706982633	4.93190860832303e-09	3.34226229786719e-06
20750	"IEA"	"BP"	"Spp1"	"chr5"	"GO:0001503"	-8.52073767112007	8.89895131616966	-24.5498369521882	5.02322099201299e-09	3.34226229786719e-06
